term,en,jp
zyuganov,zyuganov,ジュガノフ
zygote,zygote,ザイゴウトゥ
zygomatic,zygomatic,ザイゴウマティク
zygoma,zygoma,ザイゴウマ
zvegintzov,zvegintzov,ズベジンツフ
zurich,zurich,ツーリッヒ
zulu,zulu,ズールー
zukerman,zukerman,ズッカーマン
zucker,zucker,ズッカー
zucchini,zucchini,ヅキニー
zubaydah,zubaydah,ヅバイダー
zovirax,zovirax,ゾビラックス
zoster,zoster,ゾスター
zoroastrian,zoroastrian,ゾーロウアストゥリアン
zooming,zooming,ズーミング
zoomer,zoomer,ズーマー
zoomed,zoomed,ズームドゥ
zoom,zoom,ズーム
zoology,zoology,ゾウアロジイ
zoologist,zoologist,ゾウアロジストゥ
zoologically,zoologically,ゾウアロジカリイ
zoological,zoological,ゾウアロジカル
zoo,zoo,ズー
zone,zone,ゾウン
zola,zola,ゾラ
zodiac,zodiac,ゾウディアック
zocor,zocor,ゾコー
zmodem,zmodem,ゼットモデム
ziyang,ziyang,ジヤン
ziti,ziti,ジーティ
zircon,zircon,ジルコーン
zippy,zippy,ジッピイ
zipporah,zipporah,チッポラ
zippo,zippo,ジッポウ
zipping,zipping,ジッピング
zippily,zippily,ジッピリー
zipper,zipper,ジッパー
zippel,zippel,ジッペル
zipped,zipped,ジップトゥ
zip,zip,ジップ
zionist,zionist,ザイアニストゥ
zinnia,zinnia,ジニア
zinni,zinni,ジニ
zinkernagel,zinkernagel,ジンカーナゲル
zinger,zinger,ジンガー
zing,zing,ジング
zinder,zinder,ジンダー
zinc,zinc,ジンク
zimmerman,zimmerman,ジマーマン
zimbabwe,zimbabwe,ジンバブウェ
zilog,zilog,ザイログ
zillion,zillion,ズィリオン
zilch,zilch,ジルチ
zigzagging,zigzagging,ジグザギング
zigzagged,zigzagged,ジグザグドゥ
zigzag,zigzag,ジグザグ
ziggy,ziggy,ジギー
zift,zift,ジフトゥ
zielinkiski,zielinkiski,ジーリンスキイ
ziegler,ziegler,ジーグラー
zhu,zhu,ジュー
zhila,zhila,ジラ
zhao,zhao,ジャウ
zhang,zhang,ジャーン
zha,zha,ツアー
zeus,zeus,ゼウス
zeugma,zeugma,ズーグマ
zesty,zesty,ゼスティイ
zestfully,zestfully,ゼストゥフリー
zest,zest,ゼストゥ
zeroes,zeroes,ゼロウズ
zeppelin,zeppelin,ツェッペリン
zephyr,zephyr,ゼファー
zeos,zeos,ジオス
zenith,zenith,ゼニス
zeneca,zeneca,ゼネカ
zen,zen,ゼン
zelkova,zelkova,ゼルコバ
zeitgeist,zeitgeist,ツアイトゥガイストゥ
zeist,zeist,ザイストゥ
zedong,zedong,ゼゾン
zebulun,zebulun,ゼビュラン
zebulon,zebulon,ゼビュラン
zebroski,zebroski,ゼブロスキイ
zebra,zebra,ゼブラ
zealous,zealous,ズィーラス
zealots,zealots,ゼラツ
zealot,zealot,ゼラトゥ
zealing,zealing,ズィイリング
zealed,zealed,ズィイルトゥ
zealand,zealand,ジーランドゥ
zeal,zeal,ズィール
zea,zea,ズィイ
zcopy,zcopy,ゼットコピー
zaurus,zaurus,ザウルス
zardari,zardari,ザルダリ
zard,zard,ザードゥ
zapruder,zapruder,ザプルーダー
zapping,zapping,ザッピング
zapped,zapped,ザップトゥ
zapotec,zapotec,サポテク
zapatist,zapatist,ザパチストゥ
zap,zap,ザップ
zanzibar,zanzibar,ザンジバー
zany,zany,ゼイニー
zantac,zantac,ザンタック
zang,zang,ザング
zamboni,zamboni,ザンボウニイ
zambian,zambian,ザンビアン
zambia,zambia,ザンビア
zaire,zaire,ザイアー
yvonne,yvonne,イボンヌ
yves,yves,イーブ
yuths,yuths,ユダス
yuppie,yuppie,ヤッピイ
yung,yung,ユン
yummy,yummy,ヤミー
yumashev,yumashev,ユマシェフ
yum,yum,ヤム
yukon,yukon,ユーコン
yuko,yuko,ユーコ
yuji,yuji,ユウジ
yuichi,yuichi,ユーイチ
yugoslavian,yugoslavian,ユーゴスラヴィアン
yugoslavia,yugoslavia,ユーゴスラヴィア
yugoslav,yugoslav,ユーゴスラブ
yuck,yuck,ヤック
yucatan,yucatan,ユカタン
yubin,yubin,ユービン
yuan,yuan,ユーアン
yowling,yowling,ヤウリング
yowl,yowl,ヤウル
youthes,youthes,ユーシイズ
youth,youth,ユース
yourselves,yourselves,ユアセルブズ
yourself,yourself,ユアセルフ
yours,yours,ユアーズ
your,your,ユア
youngster,youngster,ヤングスター
youngest,youngest,ヤンゲストゥ
younger,younger,ヤンガー
young,young,ヤング
you,you,ユー
yorker,yorker,ヨーカー
york,york,ヨーク
yore,yore,ヨア
yongmin,yongmin,ヤンミン
yongish,yongish,ヤンギシュ
yomail,yomail,ヨメイル
yolk,yolk,ヨーク
yoko,yoko,ヨーコ
yokel,yokel,ヨウケル
yoke,yoke,ヨウク
yohannes,yohannes,ヨハネス
yogurt,yogurt,ヨーガートゥ
yogism,yogism,ヨウギズム
yogic,yogic,ヨウギク
yoghurt,yoghurt,ヨーガートゥ
yodel,yodel,ヨーデル
yo,yo,ヨウ
ymodem,ymodem,ワイモデム
yips,yips,イップス
yippie,yippie,イッピー
yike,yike,ヤイク
yields,yields,イールズ
yielding,yielding,イールディング
yielded,yielded,イールディドゥ
yield,yield,イールドゥ
yiddishes,yiddishes,イディッシュズ
yiddish,yiddish,イディッシュ
yhwh,yhwh,ヤーウェイ
yhvh,yhvh,ヤーウェイ
yevgeny,yevgeny,エフゲニー
yet,yet,イェットゥ
yesteryear,yesteryear,イエスタイヤー
yesterday,yesterday,イエスタデイ
yester,yester,イエスター
yesalis,yesalis,イエサリス
yes,yes,イエス
yertle,yertle,ヤートゥル
yerking,yerking,ヤーキング
yerked,yerked,ヤークトゥ
yerk,yerk,ヤーク
yergason,yergason,ヤーガソン
yerevan,yerevan,イエレバン
yep,yep,イエップ
yeomen,yeomen,ヨーメン
yeomanry,yeomanry,ヨーマンリイ
yeoman,yeoman,ヨーマン
yen,yen,イェン
yemenite,yemenite,イェーメニティー
yemeni,yemeni,イェーメニー
yemen,yemen,イェーメン
yeltsin,yeltsin,ェリツィン
yelping,yelping,イェルピング
yelped,yelped,イェルプトゥ
yelp,yelp,イェルプ
yellowish,yellowish,イェロウイッシュ
yellowest,yellowest,イェロウエストゥ
yellower,yellower,イェロウアー
yellowed,yellowed,イェロードゥ
yellow,yellow,イェロー
yelling,yelling,イェリング
yelled,yelled,イェルドゥ
yell,yell,イェル
yehliu,yehliu,イェーリュー
yegor,yegor,エゴル
yeats,yeats,イーツ
yeasty,yeasty,イースティー
yeast,yeast,イーストゥ
yearning,yearning,ヤーニング
yearn,yearn,ヤーン
yearly,yearly,イヤリー
yearling,yearling,イアーリング
year,year,イヤー
yeah,yeah,ヤー
yawp,yawp,ヨープ
yawning,yawning,ヨーニング
yawned,yawned,ヨーンドゥ
yawn,yawn,ヨーン
yawling,yawling,ヨーリング
yawled,yawled,ヨールドゥ
yawl,yawl,ヨール
yatiyo,yatiyo,ヤチヨ
yasser,yasser,ヤッサー
yars,yars,ヤーズ
yarning,yarning,ヤーニング
yarned,yarned,ヤーンドゥ
yarn,yarn,ヤーン
yardstick,yardstick,ヤードゥスティック
yards,yards,ヤーズ
yardeni,yardeni,ヤーデニイ
yard,yard,ヤードゥ
yarber,yarber,ヤーバー
yap,yap,ヤップ
yao,yao,ヤオ
yanqui,yanqui,ヤンキー
yanking,yanking,ヤンキング
yankelovich,yankelovich,ヤンケロビッチ
yankee,yankee,ヤンキー
yanked,yanked,ヤンクトゥ
yank,yank,ヤンク
yangtze,yangtze,ヤンツィ
yang,yang,ヤン
yan,yan,ヤン
yams,yams,ヤムズ
yammer,yammer,ヤマー
yam,yam,ヤム
yale,yale,イェイル
yahweh,yahweh,ヤーウェイ
yahwe,yahwe,ヤーウェイ
yahoo,yahoo,ヤフー
yachtsman,yachtsman,ヨットゥマン
yacht,yacht,ヨットゥ
yacc,yacc,ヤック
xylose,xylose,ザイロウス
xylophone,xylophone,ザイロフォン
xylograph,xylograph,ザイログラフ
xylitol,xylitol,ザイラトール
xylene,xylene,ザイリーン
xu,xu,スー
xtrs,xtrs,エックスティーアールエス
xtract,xtract,エックストゥラクトゥ
xtr,xtr,エックスティーアール
xset,xset,エックスセットゥ
xref,xref,クロスレフ
xpspath,xpspath,エックスピーエスパス
xplora,xplora,エクスプローラ
xmodem,xmodem,エックスモデム
xmas,xmas,クリスマス
xlist,xlist,エックスリストゥ
xircom,xircom,ザーコム
xinhua,xinhua,シンホワー
xing,xing,クロシング
xerox,xerox,ゼロックス
xenotransplant,xenotransplant,ゼノトゥランスプラントゥ
xenophobic,xenophobic,ゼノフォウビク
xenon,xenon,ゼノン
xenix,xenix,ゼニックス
xemacs,xemacs,エクスイマックス
xelvis,xelvis,ゼルビス
xcopy,xcopy,エックスコピー
xavier,xavier,ゼイビア
xanthophyll,xanthophyll,キサントフィル
xanax,xanax,ザナックス
wyss,wyss,ビース
wysiwyg,wysiwyg,ウィジウィグ
wyoming,wyoming,ワイオミング
wynette,wynette,ウィネットゥ
wyeth,wyeth,ワイアス
wye,wye,ワイ
wyatt,wyatt,ワイアトゥ
wuxi,wuxi,ウーシイ
wuthering,wuthering,ワザリング
wunderkind,wunderkind,ワンダーキンドゥ
wuhan,wuhan,ウーハーン
wtxt,wtxt,ダブリュテキストゥ
wterm,wterm,ダブリュターム
wry,wry,ライ
wrung,wrung,ラング
wrought,wrought,ロートゥ
wrote,wrote,ロウトゥ
wrongdoer,wrongdoer,ロングドゥアー
wrong,wrong,ロング
wrog,wrog,ロウグ
written,written,リトゥン
writing,writing,ライティング
writhing,writhing,ライジング
writhes,writhes,ライジズ
writhed,writhed,ライズドゥ
writhe,writhe,ライズ
writes,writes,ライツ
writer,writer,ライター
writelog,writelog,ライトゥログ
write,write,ライトゥ
writable,writable,ライタブル
writ,writ,リットゥ
wrists,wrists,リスツ
wrist,wrist,リストゥ
wrinkling,wrinkling,リンクリング
wrinkled,wrinkled,リンクルドゥ
wrinkle,wrinkle,リンクル
wringing,wringing,リンギング
wringer,wringer,リンガー
wringed,wringed,リングドゥ
wring,wring,リング
wrigley,wrigley,リグレイ
wrighter,wrighter,ライター
wright,wright,ライトゥ
wriggling,wriggling,リグリング
wriggled,wriggled,リグルドゥ
wriggle,wriggle,リグル
wries,wries,ライズ
wried,wried,ライドゥ
wretchedest,wretchedest,レッチデストゥ
wretcheder,wretcheder,レッチダー
wretched,wretched,レッチドゥ
wretch,wretch,レッチ
wrestling,wrestling,レスリング
wrestler,wrestler,レスラー
wrestled,wrestled,レッスルドゥ
wrestle,wrestle,レッスル
wresting,wresting,レスティング
wrested,wrested,レスティドゥ
wrest,wrest,レストゥ
wrenching,wrenching,レンチング
wrenches,wrenches,レンチズ
wrenched,wrenched,レンチトゥ
wrench,wrench,レンチ
wren,wren,レン
wrecking,wrecking,レッキング
wrecker,wrecker,レッカー
wrecked,wrecked,レックトゥ
wreckage,wreckage,レッケイジ
wreck,wreck,レック
wreathe,wreathe,リーズ
wreath,wreath,リース
wreaking,wreaking,リーキング
wreaker,wreaker,リーカー
wreaked,wreaked,リークトゥ
wreak,wreak,リーク
wray,wray,レイ
wrathy,wrathy,ラシー
wrath,wrath,ラス
wrapt,wrapt,ラプトゥ
wrapping,wrapping,ラッピング
wrapper,wrapper,ラッパー
wrapped,wrapped,ラップトゥ
wrap,wrap,ラップ
wrangling,wrangling,ラングリング
wrangle,wrangle,ラングル
wraith,wraith,レイス
wracking,wracking,ラッキング
wracked,wracked,ラックトゥ
wrack,wrack,ラック
wowwow,wowwow,ワウワウ
wow,wow,ワーオ
wovoka,wovoka,ウオーボーカ
woven,woven,ウオウブン
wove,wove,ウオウブ
wounds,wounds,ウーンズ
wounding,wounding,ウーンディング
wounded,wounded,ウーンディドゥ
wound,wound,ウーンドゥ
wouldst,wouldst,ウッドゥストゥ
wouldest,wouldest,ウッデストゥ
would,would,ウッドゥ
wotting,wotting,ウォティング
wotted,wotted,ウォッティドゥ
wots,wots,ウォッツ
wotan,wotan,ボータン
wot,wot,ウォットゥ
worthy,worthy,ワージー
worthwhile,worthwhile,ワースワイル
worthiness,worthiness,ワージネス
worthily,worthily,ワージリー
worthiest,worthiest,ワージエストゥ
worthies,worthies,ワージーズ
worthes,worthes,ワージズ
worth,worth,ワース
wort,wort,ワートゥ
worsted,worsted,ワースティドゥ
worst,worst,ワーストゥ
worshipping,worshipping,ワーシッピング
worshipper,worshipper,ワーシッパー
worshipped,worshipped,ワーシップトゥ
worshiping,worshiping,ワーシッピング
worshiper,worshiper,ワーシッパー
worshiped,worshiped,ワーシップトゥ
worship,worship,ワーシップ
worsening,worsening,ワースニング
worsened,worsened,ワースンドゥ
worsen,worsen,ワースン
worse,worse,ワース
worry,worry,ウォリー
worrisome,worrisome,ウォリーサム
worries,worries,ウォリーズ
worried,worried,ウォリードゥ
worn,worn,ワーン
wormy,wormy,ワーミイ
wormed,wormed,ワームドゥ
worm,worm,ワーム
worldy,worldy,ワールディー
worlds,worlds,ワールズ
worldliness,worldliness,ワールドゥリネス
worlder,worlder,ワールダー
world,world,ワールドゥ
worl,worl,ワール
working,working,ワーキング
worker,worker,ワーカー
worked,worked,ワークトゥ
workaholic,workaholic,ワーカホリク
workaday,workaday,ワーカデー
workable,workable,ワーカブル
work,work,ワーク
wore,wore,ウォァー
wordy,wordy,ワーディー
wordstar,wordstar,ワードゥスター
words,words,ワーズ
wording,wording,ワーディング
worded,worded,ワーディドゥ
word,word,ワードゥ
worcestershire,worcestershire,ウースタシャー
worcester,worcester,ウースター
wopper,wopper,ウォッパー
wopen,wopen,ダブリュオウプン
woozy,woozy,ウージイ
woosh,woosh,ウーシュ
woonteiler,woonteiler,ウンタイラー
woolly,woolly,ウーリー
woollen,woollen,ウーレン
woolf,woolf,ウルフ
woolen,woolen,ウーレン
wool,wool,ウール
woof,woof,ウーフ
wooer,wooer,ウーアー
woody,woody,ウッディー
woodsy,woodsy,ウッジイ
woodshed,woodshed,ウッドゥシェドゥ
woods,woods,ウッズ
wooding,wooding,ウッディング
wooden,wooden,ウッドゥン
wooded,wooded,ウッディドゥ
wood,wood,ウッドゥ
woo,woo,ウー
wonted,wonted,ウオンティドゥ
